Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed
_Houston,B12,34,30,124.89,88.01,.98231,52.788,44.94,14.625,1.0
_Duke,ACC,34,31,128.52,91.34,.98082,57.45,44.53,14.419,1.0
_Auburn,SEC,33,28,129.11,93.712,.97563,55.725,46.011,13.46,1.0
_Florida,SEC,34,30,127.73,94.013,.97144,55.037,45.36,15.036,1.0
_Alabama,SEC,33,25,127.64,96.428,.96205,56.314,47.950,16.7149,2.0
_Tennessee,SEC,34,27,119.319,91.13,.95706,52.884,44.41,16.095,2.0
_Texas_Tech,B12,33,25,126.06,96.732,.95457,55.527,48.053,14.830,3.0
_Iowa_St_,B12,33,24,118.920,92.38,.94818,54.644,48.463,16.9159,3.0
_Arizona,B12,34,22,123.910,96.530,.94699,52.983,48.674,16.2108,4.0
_Maryland,B10,33,25,117.828,92.06,.945010,53.857,47.025,14.523,4.0
_Gonzaga,WCC,33,25,123.312,96.429,.944311,55.725,47.537,13.24,8.0
_Wisconsin,B10,35,26,122.414,96.126,.941612,53.663,47.950,14.117,3.0
_Michigan_St_,B10,33,27,116.836,91.85,.940913,51.2147,46.112,16.6137,2.0
_BYU,B12,33,24,125.57,99.153,.937814,57.27,50.6164,17.6207,6.0
_St__John_s,BE,34,30,112.670,89.12,.936415,49.7238,46.619,15.666,2.0
_Missouri,SEC,33,22,127.05,100.875,.934316,56.218,50.7170,15.244,6.0
_Kentucky,SEC,33,22,123.811,98.749,.931617,56.019,50.4151,15.244,3.0
_Purdue,B10,33,22,125.08,100.068,.928618,56.314,52.0240,15.666,4.0
_Louisville,ACC,34,27,118.324,94.716,.928619,53.471,49.296,16.5132,8.0
_Clemson,ACC,33,27,118.325,94.817,.927320,53.663,48.989,15.775,5.0
_Kansas,B12,33,21,116.143,93.110,.927221,53.178,46.214,16.7149,7.0
_Texas_A_M,SEC,32,22,115.749,93.111,.923722,47.5315,48.258,18.2249,4.0
_Illinois,B10,33,21,122.215,98.545,.922723,52.3103,47.332,15.883,6.0
_Saint_Mary_s,WCC,33,28,115.055,92.89,.921524,50.9167,46.214,15.139,7.0
_UCLA,B10,32,22,117.927,95.320,.920525,53.080,50.5157,15.990,7.0
_Michigan,B10,34,25,115.154,94.415,.907126,54.551,46.317,19.8328,5.0
_Baylor,B12,33,19,120.517,99.358,.902727,51.5135,51.2196,16.1103,9.0
_Mississippi,SEC,33,22,117.431,97.034,.900228,51.1152,50.5157,12.83,6.0
_VCU,A10,34,28,116.242,96.025,.900229,52.498,44.41,16.8155,11.0
_Georgia,SEC,32,20,116.046,95.823,.900130,52.595,47.229,18.8289,9.0
_Marquette,BE,33,23,116.739,96.531,.898431,52.0114,49.9127,13.58,7.0
_Mississippi_St_,SEC,33,21,118.326,98.850,.888832,51.7122,51.9236,15.139,8.0
_Creighton,BE,34,24,117.332,98.343,.885033,55.823,47.025,18.1242,9.0
_Connecticut,BE,33,23,121.616,102.092,.882935,55.527,48.359,17.1174,8.0
_North_Carolina,ACC,35,22,118.921,99.865,.881636,54.252,49.6115,15.139,11.0
_Xavier,BE,32,21,116.341,97.838,.879737,53.955,50.6164,16.095,11.0
_Colorado_St_,MWC,34,25,116.934,98.646,.876238,55.823,48.568,17.4193,12.0
_Oregon,B10,33,24,115.153,97.237,.874839,52.2105,49.193,16.2108,5.0
_New_Mexico,MWC,33,26,111.787,94.918,.866940,50.8172,49.296,15.666,10.0
_Vanderbilt,SEC,32,20,118.722,101.284,.862142,51.7122,52.9275,14.728,10.0
_Arkansas,SEC,33,20,111.983,95.422,.861643,52.788,48.359,16.5132,10.0
_UC_San_Diego,BW,34,30,113.564,97.035,.858945,55.431,47.742,13.46,12.0
_Oklahoma,SEC,33,20,117.730,100.977,.854946,54.938,51.1189,17.3185,9.0
_Utah_St_,MWC,33,26,122.613,105.2148,.853047,56.019,51.8232,16.095,10.0
_Texas,SEC,34,19,116.740,100.269,.852249,52.595,48.463,14.318,11.0
_San_Diego_St_,MWC,30,21,108.9121,94.314,.839153,50.6184,45.36,16.8155,11.0
_Liberty,CUSA,34,28,112.868,98.242,.831056,58.42,45.99,15.348,12.0
_Drake,MVC,33,30,112.573,98.544,.822958,53.857,51.7227,18.6277,11.0
_Memphis,Amer,34,29,111.788,98.748,.805760,53.663,48.568,19.2304,5.0
_McNeese_St_,Slnd,33,27,113.465,100.774,.796064,53.373,47.537,16.2108,12.0
_Yale,Ivy,29,22,113.961,103.7118,.745779,54.840,48.882,14.419,13.0
_Grand_Canyon,WAC,33,26,108.5127,99.560,.731083,51.2147,47.025,18.4264,13.0
_High_Point,BSth,34,29,117.729,108.1213,.726185,56.412,49.193,15.348,13.0
_Lipscomb,ASun,34,25,110.797,104.0125,.6719100,55.922,48.674,14.419,14.0
_Akron,MAC,34,28,113.762,106.8186,.6712101,55.431,49.5109,16.6137,13.0
_Troy,SB,33,23,106.7163,100.673,.6614103,50.1215,47.229,19.9330,14.0
_UNC_Wilmington,CAA,34,27,112.276,106.8184,.6389109,52.2105,50.9178,16.095,14.0
_Nebraska_Omaha,Sum,34,22,112.278,108.4221,.5961126,53.568,53.1283,15.775,15.0
_Montana,BSky,34,25,112.081,109.0235,.5785132,56.412,52.2246,16.2108,14.0
_Wofford,SC,34,19,111.591,109.7248,.5466145,53.373,51.8232,16.9159,15.0
_Robert_Morris,Horz,34,26,105.9185,105.0144,.5237149,51.3142,50.3145,18.5272,15.0
_Bryant,AE,34,23,105.7191,105.3152,.5111153,51.0162,47.742,16.5132,15.0
_Norfolk_St_,MEAC,34,24,106.2178,109.0238,.4252195,52.498,49.7119,18.3254,16.0
_SIU_Edwardsville,OVC,33,22,101.3265,105.7164,.3797218,48.9270,47.537,17.1174,16.0
_American,Pat,34,22,101.2267,107.4197,.3359243,51.8119,52.1243,16.8155,16.0
_Mount_St__Mary_s,MAAC,34,22,99.4298,107.5199,.2903264,51.0162,48.053,21.7358,16.0
_Alabama_St_,SWAC,34,19,100.5281,109.6246,.2704274,47.1325,50.3145,13.24,16.0
_Saint_Francis,NEC,33,16,99.9294,112.0289,.2116301,51.6129,51.3203,19.6321,16.0
