Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result
2023_Connecticut,BE,39,31,121.53,91.29,0.96431,53.933,44.45,18.9237,4.0,1.0
2023_Alabama,SEC,37,31,116.115,89.03,0.95482,52.186,41.31,18.7224,1.0,16.0
2023_Houston,Amer,37,33,117.313,90.35,0.95323,52.379,42.72,15.428,1.0,16.0
2023_UCLA,P12,37,31,114.923,88.52,0.95284,51.1146,46.827,14.915,2.0,16.0
2023_Tennessee,SEC,36,25,111.257,87.51,0.94015,49.921,42.83,18.1169,4.0,16.0
2023_Texas,B12,38,29,116.116,91.81,0.93716,53.345,48.166,16.355,2.0,8.0
2023_Purdue,B10,35,29,117.91,93.721,0.93337,51.8101,47.24,17.299,1.0,
2023_Arizona,P12,35,28,119.46,95.434,0.92928,56.53,47.135,18.4208,2.0,
2023_Gonzaga,WCC,37,31,123.21,99.078,0.92519,57.62,51.4228,14.813,3.0,8.0
2023_Saint_Mary_s,WCC,35,27,112.144,90.56,0.92131,52.089,47.135,16.462,5.0,32.0
2023_San_Diego_St_,MWC,39,32,110.861,89.54,0.920511,49.3236,46.52,17.3104,5.0,2.0
2023_Marquette,BE,36,29,118.78,96.041,0.919712,56.07,51.0202,15.326,2.0,32.0
2023_Creighton,BE,37,24,115.021,93.215,0.917713,54.226,47.135,16.668,6.0,8.0
2023_Kansas,B12,36,28,113.831,92.313,0.917714,52.667,47.031,17.5124,1.0,32.0
2023_Duke,ACC,36,27,113.333,92.914,0.907215,51.1146,46.015,18.3192,5.0,32.0
2023_Memphis,Amer,35,26,115.42,95.03,0.903016,53.052,46.724,18.3192,8.0,
2023_Baylor,B12,34,23,121.72,100.6102,0.899217,53.248,51.6239,17.9154,3.0,32.0
2023_West_Virginia,B12,34,19,117.214,97.555,0.893518,51.5117,50.9197,18.5213,9.0,
2023_Arkansas,SEC,36,22,111.945,93.316,0.889419,50.9158,47.24,18.1169,8.0,16.0
2023_Xavier,BE,37,27,118.09,98.574,0.88912,55.213,50.3161,17.299,3.0,16.0
2023_Auburn,SEC,34,21,113.134,94.928,0.882921,49.5223,45.713,17.7141,9.0,32.0
2023_Florida_Atlantic,CUSA,39,35,114.027,95.84,0.881522,54.324,46.116,16.983,9.0,4.0
2023_Texas_A_M,SEC,35,25,113.83,95.738,0.880823,48.8263,48.271,18.3192,7.0,
2023_Kansas_St_,B12,36,26,112.639,94.727,0.880324,52.379,48.166,19.3258,3.0,8.0
2023_Michigan_St_,B10,34,21,114.424,96.445,0.877125,51.7104,48.684,16.462,7.0,16.0
2023_Kentucky,SEC,34,22,115.718,97.76,0.873826,50.6178,48.684,17.4119,6.0,32.0
2023_Miami_FL,ACC,37,29,119.17,100.9109,0.871527,54.324,51.2213,16.147,5.0,4.0
2023_TCU,B12,35,22,111.749,94.626,0.870528,50.0207,48.166,16.771,6.0,32.0
2023_Iowa_St_,B12,33,19,107.0122,90.97,0.867929,49.921,49.9141,19.6274,6.0,
2023_Utah_St_,MWC,35,26,115.419,98.065,0.86703,55.58,48.166,17.6134,10.0,
2023_Maryland,B10,35,22,112.64,95.839,0.865831,50.8165,47.753,16.564,8.0,32.0
2023_Northwestern,B10,34,22,109.776,93.418,0.864232,47.3316,48.479,14.711,7.0,32.0
2023_Virginia,ACC,33,25,110.068,94.024,0.859134,51.2138,48.375,13.65,4.0,
2023_Indiana,B10,35,23,113.136,96.947,0.855735,53.541,47.24,16.877,4.0,32.0
2023_Penn_St_,B10,37,23,117.511,100.7105,0.854836,55.41,49.1103,13.77,10.0,32.0
2023_Iowa,B10,33,19,119.94,103.9171,0.838541,51.7104,53.3307,14.08,8.0,
2023_Boise_St_,MWC,34,24,110.166,95.636,0.836143,51.6112,47.547,16.668,10.0,
2023_USC,P12,33,22,111.848,97.453,0.829846,51.2138,45.411,18.1169,10.0,
2023_N_C__State,ACC,34,23,113.632,99.28,0.827248,51.5117,49.8131,13.54,11.0,
2023_Illinois,B10,33,20,108.992,95.433,0.82165,51.4125,46.724,18.4208,9.0,
2023_Arizona_St_,P12,36,23,108.41,95.029,0.820751,48.4287,46.52,16.877,11.0,
2023_Drake,MVC,35,27,108.893,95.637,0.815553,52.956,46.929,15.529,12.0,
2023_Providence,BE,33,21,114.922,101.2115,0.812855,51.1146,49.7128,16.877,11.0,
2023_VCU,A10,35,27,105.515,93.417,0.802662,52.089,46.929,19.6274,12.0,
2023_Mississippi_St_,SEC,34,21,103.4186,91.811,0.798664,46.7328,46.217,19.4264,11.0,
2023_Missouri,SEC,35,25,117.512,104.5182,0.793965,55.017,52.3277,15.837,7.0,32.0
2023_Iona,MAAC,35,27,110.364,98.37,0.790867,51.6112,46.318,15.118,13.0,
2023_Charleston,CAA,35,31,109.484,97.758,0.78657,51.1146,47.958,16.771,12.0,
