Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Louisville,BE,40,35,117.08,86.02,0.97181,50.683,44.832,18.378,1.0,1.0,27.02,38.216,33.3243,40.067,34.9143,50.847,43.436,33.3197,31.868,30.0263,33.3183,65.8119,+9.01
_Florida,SEC,37,29,116.99,87.14,0.96702,55.26,43.39,17.85,3.0,8.0,22.543,34.288,28.451,31.0294,29.948,54.38,41.87,37.826,31.042,39.540,32.8159,61.5297,+4.219
_Indiana,B10,36,29,122.02,91.216,0.96603,54.79,44.015,19.3133,1.0,16.0,20.9115,39.07,31.4148,45.86,27.017,52.025,43.229,40.35,30.429,32.3190,32.8159,66.492,+7.73
_Gonzaga,WCC,34,31,120.13,91.62,0.95734,54.98,44.933,17.229,1.0,32.0,20.8125,37.821,29.884,40.848,29.948,55.06,42.110,36.558,32.9113,31.5212,38.8325,63.8214,+7.82
_Syracuse,BE,40,30,113.822,88.46,0.94805,49.0141,42.65,18.9112,4.0,4.0,23.619,38.88,34.5284,36.8146,35.4156,48.5126,42.619,33.4191,28.43,30.4251,40.3333,64.0203,+5.113
_Michigan,B10,38,30,122.61,95.35,0.94786,54.611,48.0142,14.61,4.0,2.0,18.7241,32.5137,29.471,28.4329,22.71,53.411,47.6175,37.924,32.6102,34.2143,33.6193,63.5230,+6.211
_Kansas,B12,37,31,112.829,87.65,0.94787,53.324,41.51,20.3192,1.0,16.0,18.4260,33.898,29.369,39.580,32.076,52.913,39.31,36.462,30.326,29.0280,35.6264,66.396,+7.55
_Duke,ACC,36,30,119.54,93.032,0.94728,53.917,45.55,15.64,2.0,8.0,20.4144,28.8267,32.3186,39.287,32.787,50.847,46.2120,39.97,29.09,33.3161,26.922,66.490,+7.64
_Ohio_St_,B10,37,29,114.714,90.914,0.93579,50.683,45.446,16.21,2.0,8.0,20.7131,31.8159,28.244,35.5185,29.543,49.487,43.639,35.684,32.490,31.0234,36.2288,63.9208,+7.26
_Wisconsin,B10,35,23,108.274,85.91,0.93441,48.6159,43.07,15.75,5.0,,18.0278,32.6134,26.917,29.7317,25.78,48.0153,42.824,33.0211,28.96,40.031,24.97,60.6315,+4.617
_Michigan_St_,B10,35,26,112.431,89.38,0.933811,50.683,44.527,20.8224,3.0,16.0,19.2213,36.141,27.633,36.6154,32.482,50.455,44.357,34.1154,30.122,27.2302,34.3216,63.1247,+6.78
_Georgetown,BE,32,25,108.768,86.53,0.932112,51.171,43.07,20.1178,2.0,,22.445,30.4217,31.0131,36.8146,35.3154,50.261,41.44,35.395,30.739,32.9174,34.0202,61.1301,+6.59
_Arizona,P12,35,27,115.711,93.736,0.918013,52.539,46.684,19.5143,6.0,16.0,19.8177,35.063,26.715,37.4127,32.996,50.651,43.436,37.141,35.8262,37.555,30.995,65.5135,+4.616
_VCU,A10,36,27,115.013,93.434,0.916114,51.366,49.9226,16.921,5.0,32.0,28.51,36.635,34.7292,29.8316,40.3271,50.554,50.1268,35.1104,32.9113,35.797,32.9166,66.878,+2.727
_Pittsburgh,BE,33,24,114.119,92.73,0.915815,51.754,44.629,18.165,8.0,,22.058,40.44,30.093,37.5122,36.4181,51.535,44.050,34.9115,30.429,26.3313,35.4258,58.9341,+3.125
_Miami_FL,ACC,36,29,113.624,92.426,0.914716,51.949,45.758,16.716,2.0,16.0,18.4260,31.3183,28.451,34.6212,28.325,50.651,44.050,36.268,32.6102,35.6103,34.9239,61.7292,+6.410
_Saint_Louis,A10,35,28,109.262,88.97,0.914117,50.494,45.55,17.642,4.0,32.0,23.619,27.9291,29.164,44.020,35.0148,50.068,44.154,34.0158,33.1122,34.1145,26.619,63.3235,+3.920
_Creighton,MVC,36,28,117.77,96.469,0.907818,58.21,45.966,18.9112,7.0,32.0,16.1327,28.8267,27.227,34.2226,26.113,55.73,45.590,41.41,31.248,39.441,33.2179,63.9212,+3.622
_Wichita_St_,MVC,39,30,111.934,92.427,0.899819,50.0104,45.341,19.4137,9.0,4.0,20.0169,38.018,26.512,36.5155,38.3235,49.682,43.639,33.9164,32.282,35.3108,36.6299,63.7219,+2.331
_Minnesota,B10,34,21,113.723,94.139,0.89832,49.3125,45.655,21.6264,11.0,32.0,20.2153,43.61,33.2235,41.637,36.7192,48.8111,42.824,33.7172,33.9170,29.7267,34.7237,62.8260,+2.132
_Marquette,BE,35,26,114.02,94.748,0.894421,49.6112,46.273,20.9233,3.0,8.0,19.5196,38.414,33.1229,40.945,31.773,51.633,44.976,29.6321,32.385,26.9304,35.9275,63.3240,+4.518
_Oklahoma_St_,B12,33,24,108.865,90.413,0.894122,48.8149,44.527,18.27,5.0,,21.773,31.3183,30.8123,40.556,35.1151,49.585,42.414,31.6267,32.490,31.3220,34.3216,66.0113,+3.224
_Saint_Mary_s,WCC,34,27,115.312,96.468,0.886924,53.72,47.1111,18.378,11.0,,17.9282,36.931,25.04,37.0137,36.9199,52.319,44.050,37.335,36.7295,37.555,28.740,63.5229,+2.728
_North_Carolina,ACC,35,24,112.73,94.546,0.883225,49.3125,48.0142,17.229,8.0,32.0,21.581,34.676,31.6158,28.2333,27.118,46.3224,46.3124,37.236,34.4201,30.9236,32.4146,70.08,+2.629
_Kansas_St_,B12,34,26,114.316,95.961,0.882826,49.1135,47.5125,18.27,4.0,,22.252,38.513,33.8256,31.7275,36.8195,46.8201,46.5128,35.875,33.3139,32.9174,29.149,61.7294,+5.412
