past_team_text,normalized_past,matched_official_team,match_score,method,needs_review
Abilene Christian,abilene christian,Abilene Chr,90.0,rapidfuzz_wratio,False
Akron,akron,Akron,100.0,exact_norm,False
Alabama,alabama,Alabama,100.0,exact_norm,False
Alabama St,alabama st,Alabama St,100.0,exact_norm,False
Albany,albany,SUNY Albany,90.0,rapidfuzz_wratio,False
American,american,American Univ,90.0,rapidfuzz_wratio,False
Appalachian St,appalachian st,Appalachian St,100.0,exact_norm,False
Arizona,arizona,Arizona,100.0,exact_norm,False
Arizona St,arizona state,Arizona St,100.0,exact_norm,False
Arkansas,arkansas,Arkansas,100.0,exact_norm,False
Arkansas Pine Bluff,arkansas pine bluff,Ark Pine Bluff,90.0,rapidfuzz_wratio,False
Auburn,auburn,Auburn,100.0,exact_norm,False
Austin Peay,austin peay,Austin Peay,100.0,exact_norm,False
BYU,brigham young,BYU,100.0,exact_norm,False
Baylor,baylor,Baylor,100.0,exact_norm,False
Belmont,belmont,Belmont,100.0,exact_norm,False
Binghamton,binghamton,Binghamton,100.0,exact_norm,False
Boise St,boise state,Boise St,100.0,exact_norm,False
Boston College,boston college,Boston College,100.0,exact_norm,False
Boston University,boston university,Boston Univ,90.0,rapidfuzz_wratio,False
Bradley,bradley,Bradley,100.0,exact_norm,False
Bryant,bryant,Bryant,100.0,exact_norm,False
Bucknell,bucknell,Bucknell,100.0,exact_norm,False
Buffalo,buffalo,Buffalo,100.0,exact_norm,False
Butler,butler,Butler,100.0,exact_norm,False
Cal Poly,cal poly,Cal Poly,100.0,exact_norm,False
Cal St Bakersfield,cal st bakersfield,CS Bakersfield,87.5,rapidfuzz_wratio,False
Cal St Fullerton,cal st fullerton,CS Fullerton,85.71428571428572,rapidfuzz_wratio,True
Cal St Northridge,cal st northridge,CS Northridge,86.66666666666667,rapidfuzz_wratio,True
California,california,California,100.0,exact_norm,False
Charleston,charleston,Col Charleston,95.0,rapidfuzz_wratio,False
Chattanooga,chattanooga,Chattanooga,100.0,exact_norm,False
Cincinnati,cincinnati,Cincinnati,100.0,exact_norm,False
Clemson,clemson,Clemson,100.0,exact_norm,False
Cleveland St,cleveland st,Cleveland St,100.0,exact_norm,False
Coastal Carolina,coastal carolina,Coastal Car,81.4814814814815,rapidfuzz_wratio,True
Colgate,colgate,Colgate,100.0,exact_norm,False
Colorado,colorado,Colorado,100.0,exact_norm,False
Colorado St,colorado st,Colorado St,100.0,exact_norm,False
Connecticut,connecticut,Connecticut,100.0,exact_norm,False
Coppin St,coppin st,Coppin St,100.0,exact_norm,False
Cornell,cornell,Cornell,100.0,exact_norm,False
Creighton,creighton,Creighton,100.0,exact_norm,False
Davidson,davidson,Davidson,100.0,exact_norm,False
Dayton,dayton,Dayton,100.0,exact_norm,False
Delaware,delaware,Delaware,100.0,exact_norm,False
Detroit Mercy,detroit mercy,Detroit,90.0,rapidfuzz_wratio,False
Drake,drake,Drake,100.0,exact_norm,False
Drexel,drexel,Drexel,100.0,exact_norm,False
Duke,duke,Duke,100.0,exact_norm,False
Duquesne,duquesne,Duquesne,100.0,exact_norm,False
East Tennessee St,east tennessee st,ETSU,90.0,rapidfuzz_wratio,False
Eastern Kentucky,eastern kentucky,E Kentucky,90.0,rapidfuzz_wratio,False
Eastern Washington,eastern washington,E Washington,90.0,rapidfuzz_wratio,False
Fairleigh Dickinson,fairleigh dickinson,F Dickinson,85.71428571428571,rapidfuzz_wratio,True
Florida,florida,Florida,100.0,exact_norm,False
Florida Atlantic,florida atlantic,FL Atlantic,90.0,rapidfuzz_wratio,False
Florida Gulf Coast,florida gulf coast,FGCU,90.0,rapidfuzz_wratio,False
Florida St,florida state,Florida St,100.0,exact_norm,False
Fresno St,fresno st,Fresno St,100.0,exact_norm,False
Furman,furman,Furman,100.0,exact_norm,False
Gardner Webb,gardner webb,Gardner Webb,100.0,exact_norm,False
George Mason,george mason,George Mason,100.0,exact_norm,False
George Washington,george washington,G Washington,90.0,rapidfuzz_wratio,False
Georgetown,georgetown,Georgetown,100.0,exact_norm,False
Georgia,georgia,Georgia,100.0,exact_norm,False
Georgia St,georgia state,Georgia St,100.0,exact_norm,False
Georgia Tech,georgia tech,Georgia Tech,100.0,exact_norm,False
Gonzaga,gonzaga,Gonzaga,100.0,exact_norm,False
Grambling St,grambling st,Grambling,95.0,rapidfuzz_wratio,False
Grand Canyon,grand canyon,Grand Canyon,100.0,exact_norm,False
Green Bay,green bay,WI Green Bay,95.0,rapidfuzz_wratio,False
Hampton,hampton,Hampton,100.0,exact_norm,False
Hartford,hartford,Hartford,100.0,exact_norm,False
Harvard,harvard,Harvard,100.0,exact_norm,False
Hawaii,hawaii,Hawaii,100.0,exact_norm,False
Holy Cross,holy cross,Holy Cross,100.0,exact_norm,False
Houston,houston,Houston,100.0,exact_norm,False
Howard,howard,Howard,100.0,exact_norm,False
Illinois,illinois,Illinois,100.0,exact_norm,False
Indiana,indiana,Indiana,100.0,exact_norm,False
Indiana St,indiana st,Indiana St,100.0,exact_norm,False
Iona,iona,Iona,100.0,exact_norm,False
Iowa,iowa,Iowa,100.0,exact_norm,False
Iowa St,iowa state,Iowa St,100.0,exact_norm,False
Jacksonville St,jacksonville st,Jacksonville St,100.0,exact_norm,False
James Madison,james madison,James Madison,100.0,exact_norm,False
Kansas,kansas,Kansas,100.0,exact_norm,False
Kansas St,kansas state,Kansas St,100.0,exact_norm,False
Kennesaw St,kennesaw st,Kennesaw,95.0,rapidfuzz_wratio,False
Kent St,kent state,Kent,90.0,rapidfuzz_wratio,False
Kentucky,kentucky,Kentucky,100.0,exact_norm,False
LIU,liu,LIU Brooklyn,90.0,rapidfuzz_wratio,False
LSU,lsu,LSU,100.0,exact_norm,False
La Salle,la salle,La Salle,100.0,exact_norm,False
Lafayette,lafayette,Lafayette,100.0,exact_norm,False
Lamar,lamar,Lamar,100.0,exact_norm,False
Lehigh,lehigh,Lehigh,100.0,exact_norm,False
Liberty,liberty,Liberty,100.0,exact_norm,False
Lipscomb,lipscomb,Lipscomb,100.0,exact_norm,False
Little Rock,little rock,Ark Little Rock,95.0,rapidfuzz_wratio,False
Long Beach St,long beach st,Long Beach St,100.0,exact_norm,False
Longwood,longwood,Longwood,100.0,exact_norm,False
Louisiana,louisiana,Louisiana,100.0,exact_norm,False
Louisville,louisville,Louisville,100.0,exact_norm,False
Loyola Chicago,loyola il,Loyola-Chicago,100.0,exact_norm,False
Loyola MD,loyola md,Loyola MD,100.0,exact_norm,False
Manhattan,manhattan,Manhattan,100.0,exact_norm,False
Marquette,marquette,Marquette,100.0,exact_norm,False
Marshall,marshall,Marshall,100.0,exact_norm,False
Maryland,maryland,Maryland,100.0,exact_norm,False
Massachusetts,massachusetts,Massachusetts,100.0,exact_norm,False
McNeese St,mcneese st,McNeese St,100.0,exact_norm,False
Memphis,memphis,Memphis,100.0,exact_norm,False
Mercer,mercer,Mercer,100.0,exact_norm,False
Miami FL,miami fl,Miami FL,100.0,exact_norm,False
Michigan,michigan,Michigan,100.0,exact_norm,False
Michigan St,michigan state,Michigan St,100.0,exact_norm,False
Middle Tennessee,middle tennessee,MTSU,90.0,rapidfuzz_wratio,False
Milwaukee,milwaukee,WI Milwaukee,95.0,rapidfuzz_wratio,False
Minnesota,minnesota,Minnesota,100.0,exact_norm,False
Mississippi,mississippi,Mississippi,100.0,exact_norm,False
Mississippi St,mississippi state,Mississippi St,100.0,exact_norm,False
Mississippi Valley St,mississippi valley st,MS Valley St,90.0,rapidfuzz_wratio,False
Missouri,missouri,Missouri,100.0,exact_norm,False
Montana,montana,Montana,100.0,exact_norm,False
Montana St,montana state,Montana St,100.0,exact_norm,False
Morehead St,morehead st,Morehead St,100.0,exact_norm,False
Morgan St,morgan st,Morgan St,100.0,exact_norm,False
Mount St Mary s,mount st mary s,Mt St Mary's,85.5,rapidfuzz_wratio,True
Murray St,murray st,Murray St,100.0,exact_norm,False
N C State,n c state,NC State,94.11764705882352,rapidfuzz_wratio,False
Nebraska,nebraska,Nebraska,100.0,exact_norm,False
Nevada,nevada,Nevada,100.0,exact_norm,False
New Mexico,new mexico,New Mexico,100.0,exact_norm,False
New Mexico St,new mexico state,New Mexico St,100.0,exact_norm,False
New Orleans,new orleans,New Orleans,100.0,exact_norm,False
Norfolk St,norfolk st,Norfolk St,100.0,exact_norm,False
North Carolina,north carolina,North Carolina,100.0,exact_norm,False
North Carolina A T,north carolina a t,NC A&T,95.0,rapidfuzz_wratio,False
North Carolina Central,north carolina central,NC Central,90.0,rapidfuzz_wratio,False
North Dakota,north dakota,North Dakota,100.0,exact_norm,False
North Dakota St,north dakota state,North Dakota St,95.0,rapidfuzz_wratio,False
North Florida,north florida,North Florida,100.0,exact_norm,False
North Texas,north texas,North Texas,100.0,exact_norm,False
Northeastern,northeastern,Northeastern,100.0,exact_norm,False
Northern Colorado,northern colorado,N Colorado,90.0,rapidfuzz_wratio,False
Northern Iowa,northern iowa,Northern Iowa,100.0,exact_norm,False
Northern Kentucky,northern kentucky,N Kentucky,90.0,rapidfuzz_wratio,False
Northwestern,northwestern,Northwestern,100.0,exact_norm,False
Northwestern St,northwestern st,Northwestern LA,95.0,rapidfuzz_wratio,False
Notre Dame,notre dame,Notre Dame,100.0,exact_norm,False
Oakland,oakland,Oakland,100.0,exact_norm,False
Ohio,ohio,Ohio,100.0,exact_norm,False
Ohio St,ohio state,Ohio St,100.0,exact_norm,False
Oklahoma,oklahoma,Oklahoma,100.0,exact_norm,False
Oklahoma St,oklahoma state,Oklahoma St,100.0,exact_norm,False
Old Dominion,old dominion,Old Dominion,100.0,exact_norm,False
Oral Roberts,oral roberts,Oral Roberts,100.0,exact_norm,False
Oregon,oregon,Oregon,100.0,exact_norm,False
Oregon St,oregon state,Oregon St,100.0,exact_norm,False
Pacific,pacific,Pacific,100.0,exact_norm,False
Penn,penn,Penn,100.0,exact_norm,False
Penn St,penn state,Penn St,100.0,exact_norm,False
Pittsburgh,pittsburgh,Pittsburgh,100.0,exact_norm,False
Portland St,portland st,Portland St,100.0,exact_norm,False
Prairie View A M,prairie view a m,Prairie View,95.0,rapidfuzz_wratio,False
Princeton,princeton,Princeton,100.0,exact_norm,False
Providence,providence,Providence,100.0,exact_norm,False
Purdue,purdue,Purdue,100.0,exact_norm,False
Radford,radford,Radford,100.0,exact_norm,False
Rhode Island,rhode island,Rhode Island,100.0,exact_norm,False
Richmond,richmond,Richmond,100.0,exact_norm,False
Robert Morris,robert morris,Robert Morris,100.0,exact_norm,False
