,Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
0,Houston,B12,34,30,124.89,88.01,0.98231,52.788,44.94,14.625,1.0,20.923,36.911,28.6111,27.2328,34.2216,47.8295,44.55,39.43,30.214,34.7285,43.4313,61.836,11.52
1,Duke,ACC,34,31,128.52,91.34,0.98082,57.45,44.53,14.419,1.0,17.1172,34.054,27.358,32.9182,25.017,57.98,43.03,38.67,31.137,44.658,38.3157,66.0272,9.55
2,Auburn,SEC,33,28,129.11,93.712,0.97563,55.725,46.011,13.46,1.0,17.415,34.25,29.7173,33.9152,38.731,55.733,46.829,35.966,29.89,40.8136,35.36,68.3133,12.71
3,Florida,SEC,34,30,127.73,94.013,0.97144,55.037,45.36,15.036,1.0,16.6209,38.55,29.0135,34.9121,32.5167,56.129,46.317,35.673,29.45,43.772,37.2119,69.959,11.23
4,Alabama,SEC,33,25,127.64,96.428,0.96205,56.314,47.95,16.7149,2.0,13.5348,33.763,29.4154,39.33,33.2187,59.74,49.095,35.393,30.419,46.634,34.642,75.11,10.14
5,Tennessee,SEC,34,27,119.319,91.13,0.95706,52.884,44.41,16.095,2.0,17.7129,35.622,30.321,35.5103,28.258,54.066,46.625,33.8175,28.73,43.479,44.6333,63.9345,9.46
6,Texas_Tech,B12,33,25,126.06,96.732,0.95457,55.527,48.053,14.83,3.0,17.1172,34.25,28.3101,29.2291,33.4197,54.555,47.957,36.74,32.489,44.562,34.642,66.1255,5.811
7,Iowa_St_,B12,33,24,118.92,92.38,0.94818,54.644,48.463,16.9159,3.0,21.615,32.2105,27.975,37.942,29.078,55.536,47.853,35.868,33.616,36.8235,40.9254,68.8108,5.417
8,Arizona,B12,34,22,123.91,96.53,0.94699,52.983,48.674,16.2108,4.0,16.2241,36.016,27.975,35.889,29.892,54.75,47.548,33.8175,34.0187,34.7285,41.327,70.351,5.416
9,Maryland,B10,33,25,117.828,92.06,0.94501,53.857,47.025,14.523,4.0,20.139,30.7155,28.296,33.1171,26.129,52.213,47.853,37.326,30.623,35.4271,36.29,69.764,5.218
10,Gonzaga,WCC,33,25,123.312,96.429,0.944311,55.725,47.537,13.24,8.0,18.0113,32.594,26.944,30.7248,29.383,57.51,48.992,35.487,30.214,33.6311,40.2232,70.547,2.832
11,Wisconsin,B10,35,26,122.414,96.126,0.941612,53.663,47.95,14.117,3.0,14.5331,28.0235,26.741,34.2144,27.749,55.241,46.932,34.812,33.3138,48.216,39.1189,67.9155,6.61
12,Michigan_St_,B10,33,27,116.836,91.85,0.940913,51.2147,46.112,16.6137,2.0,15.9265,35.328,24.79,37.744,31.5141,53.0105,49.1101,31.1319,28.02,32.9327,40.7246,67.6175,8.57
13,BYU,B12,33,24,125.57,99.153,0.937814,57.27,50.6164,17.6207,6.0,16.9187,33.763,26.432,30.4259,29.485,58.65,49.6119,36.835,35.7288,47.624,46.2349,67.6179,4.822
14,St__John_s,BE,34,30,112.67,89.12,0.936415,49.7238,46.619,15.666,2.0,21.418,37.98,29.8181,30.3265,30.7122,51.0175,46.012,30.134,30.623,31.0342,40.8248,70.154,7.98
15,Missouri,SEC,33,22,127.05,100.875,0.934316,56.218,50.717,15.244,6.0,20.139,33.572,32.3302,47.12,35.7251,56.327,51.2188,36.74,33.616,41.4122,37.8139,68.6115,3.329
16,Kentucky,SEC,33,22,123.811,98.749,0.931617,56.019,50.4151,15.244,3.0,14.1338,28.2228,26.432,35.2113,30.6119,55.634,53.9295,37.523,30.52,41.2128,43.7319,70.932,5.713
17,Purdue,B10,33,22,125.08,100.068,0.928618,56.314,52.024,15.666,4.0,17.5146,31.8121,29.7173,34.613,30.1105,55.145,55.6332,38.214,31.24,38.4182,42.6298,65.2301,4.921
18,Louisville,ACC,34,27,118.324,94.716,0.928619,53.471,49.296,16.5132,8.0,18.592,31.9116,27.154,33.7158,27.14,56.819,48.785,32.8224,34.1194,47.82,39.8215,69.291,5.514
19,Clemson,ACC,33,27,118.325,94.817,0.92732,53.663,48.989,15.775,5.0,20.043,33.763,30.4217,28.3316,27.851,52.213,49.5115,36.933,31.97,38.8176,38.0146,64.633,4.723
20,Kansas,B12,33,21,116.143,93.11,0.927221,53.178,46.214,16.7149,7.0,15.6281,30.5161,27.664,24.4353,28.155,53.0105,46.317,35.487,30.828,34.1298,40.6243,68.6116,4.225
21,Texas_A_M,SEC,32,22,115.749,93.111,0.923722,47.5315,48.258,18.2249,4.0,19.461,41.41,28.084,41.319,35.7251,48.6274,46.829,30.7328,33.3138,37.7201,46.2349,66.7221,5.515
22,Illinois,B10,33,21,122.215,98.545,0.922723,52.3103,47.332,15.883,6.0,12.436,35.819,25.82,34.4137,26.937,57.314,46.114,31.3298,33.616,47.229,30.53,71.517,4.026
23,Saint_Mary_s,WCC,33,28,115.055,92.89,0.921524,50.9167,46.214,15.139,7.0,16.3235,39.92,24.68,31.1233,25.017,51.2166,46.215,32.2256,31.552,33.232,31.89,61.9359,4.424
24,UCLA,B10,32,22,117.927,95.32,0.920525,53.08,50.5157,15.99,7.0,22.85,32.789,29.8181,32.3194,33.9206,52.8111,50.7167,35.298,32.8113,36.5245,45.0337,65.1303,3.927
25,Michigan,B10,34,25,115.154,94.415,0.907126,54.551,46.317,19.8328,5.0,15.8268,33.278,30.2205,35.794,28.465,56.72,46.012,33.2202,30.828,42.0106,39.1189,70.055,6.89
26,Baylor,B12,33,19,120.517,99.358,0.902727,51.5135,51.2196,16.1103,9.0,18.688,36.016,30.9237,30.5254,33.7201,50.9181,50.8173,34.3151,35.9306,40.1149,41.4274,64.7321,2.139
27,Mississippi,SEC,33,22,117.431,97.034,0.900228,51.1152,50.5157,12.83,6.0,20.236,25.5309,30.4217,35.3109,39.3321,51.0175,51.8215,34.812,32.595,40.0153,43.5317,68.1145,5.02
28,VCU,A10,34,28,116.242,96.025,0.900229,52.498,44.41,16.8155,11.0,20.53,36.512,30.4217,31.5219,36.6273,53.97,44.14,33.8175,30.726,47.82,35.465,66.4242,1.044
29,Georgia,SEC,32,20,116.046,95.823,0.90013,52.595,47.229,18.8289,9.0,18.0113,36.016,31.9284,40.125,30.3107,53.781,47.957,32.9218,31.658,37.0226,40.424,66.7219,2.138
30,Marquette,BE,33,23,116.739,96.531,0.898431,52.0114,49.9127,13.58,7.0,21.418,30.0178,31.0242,25.9345,30.5115,54.75,51.3196,32.6233,31.863,46.438,39.4198,67.9154,3.728
31,Mississippi_St_,SEC,33,21,118.326,98.85,0.888832,51.7122,51.9236,15.139,8.0,18.975,33.957,29.9186,31.5219,35.3238,55.536,50.3143,31.4295,35.8298,42.789,44.0322,68.2136,3.13
32,Creighton,BE,34,24,117.332,98.343,0.885033,55.823,47.025,18.1242,9.0,11.6361,26.4278,27.255,28.631,17.21,60.42,46.215,34.5137,32.6101,48.911,35.36,67.4186,3.131
33,Connecticut,BE,33,23,121.616,102.092,0.882935,55.527,48.359,17.1174,8.0,15.7275,35.525,27.874,30.8245,41.0342,57.016,45.81,34.812,35.0246,42.789,34.234,64.1339,2.335
34,North_Carolina,ACC,35,22,118.921,99.865,0.881636,54.252,49.6115,15.139,11.0,15.3301,29.1206,26.944,34.8124,30.5115,54.555,49.1101,35.673,33.5155,37.2217,38.1154,70.834,1.343
